,exp_id,rt.0,stimulus.0,response.0,trial_type.0,trial_index.0,time_elapsed.0,internal_node_id.0,bean_trial_duration.0,bean_duration.0,bean_stimulus.0,bean_choices.0,bean_correct_key.0,bean_type.0,bean_text.0,bean_color.0,bean_correct.0,rt.1,stimulus.1,response.1,trial_type.1,trial_index.1,time_elapsed.1,internal_node_id.1,bean_trial_duration.1,bean_duration.1,bean_stimulus.1,bean_choices.1,bean_correct_key.1,bean_type.1,bean_text.1,bean_color.1,bean_correct.1,rt.2,stimulus.2,response.2,trial_type.2,trial_index.2,time_elapsed.2,internal_node_id.2,bean_trial_duration.2,bean_duration.2,bean_stimulus.2,bean_choices.2,bean_correct_key.2,bean_type.2,bean_text.2,bean_color.2,bean_correct.2
0,0,,<div style='color:white'>+</div>,,html-keyboard-response,0,804,0.0-0.0-0.0,800,800,<div style='color:white'>+</div>,[],,jsPsychHtmlKeyboardResponse,+,white,False,,<div style='color:green'>GREEN</div>,,html-keyboard-response,1,2807,0.0-0.0-1.0,2000,2000,<div style='color:green'>GREEN</div>,"['f', 'j']",j,jsPsychHtmlKeyboardResponse,GREEN,green,False,,<div style='color:red'>False!</div>,,html-keyboard-response,2,3611,0.0-0.0-2.0,800,800,<div style='color:red'>False!</div>,[],,jsPsychHtmlKeyboardResponse,False!,red,False
1,0,,<div style='color:white'>+</div>,,html-keyboard-response,3,4415,0.0-0.0-0.1,800,800,<div style='color:white'>+</div>,[],,jsPsychHtmlKeyboardResponse,+,white,False,,<div style='color:green'>RED</div>,,html-keyboard-response,4,6417,0.0-0.0-1.1,2000,2000,<div style='color:green'>RED</div>,"['f', 'j']",j,jsPsychHtmlKeyboardResponse,RED,green,False,,<div style='color:red'>False!</div>,,html-keyboard-response,5,7220,0.0-0.0-2.1,800,800,<div style='color:red'>False!</div>,[],,jsPsychHtmlKeyboardResponse,False!,red,False
2,0,,<div style='color:white'>+</div>,,html-keyboard-response,6,8023,0.0-0.0-0.2,800,800,<div style='color:white'>+</div>,[],,jsPsychHtmlKeyboardResponse,+,white,False,,<div style='color:red'>RED</div>,,html-keyboard-response,7,10026,0.0-0.0-1.2,2000,2000,<div style='color:red'>RED</div>,"['f', 'j']",f,jsPsychHtmlKeyboardResponse,RED,red,False,,<div style='color:red'>False!</div>,,html-keyboard-response,8,10829,0.0-0.0-2.2,800,800,<div style='color:red'>False!</div>,[],,jsPsychHtmlKeyboardResponse,False!,red,False
3,0,,<div style='color:white'>+</div>,,html-keyboard-response,9,11632,0.0-0.0-0.3,800,800,<div style='color:white'>+</div>,[],,jsPsychHtmlKeyboardResponse,+,white,False,,<div style='color:red'>GREEN</div>,,html-keyboard-response,10,13635,0.0-0.0-1.3,2000,2000,<div style='color:red'>GREEN</div>,"['f', 'j']",f,jsPsychHtmlKeyboardResponse,GREEN,red,False,,<div style='color:red'>False!</div>,,html-keyboard-response,11,14438,0.0-0.0-2.3,800,800,<div style='color:red'>False!</div>,[],,jsPsychHtmlKeyboardResponse,False!,red,False
4,0,,<div style='color:white'>+</div>,,html-keyboard-response,12,15240,0.0-0.0-0.4,800,800,<div style='color:white'>+</div>,[],,jsPsychHtmlKeyboardResponse,+,white,False,,<div style='color:red'>GREEN</div>,,html-keyboard-response,13,17242,0.0-0.0-1.4,2000,2000,<div style='color:red'>GREEN</div>,"['f', 'j']",f,jsPsychHtmlKeyboardResponse,GREEN,red,False,,<div style='color:red'>False!</div>,,html-keyboard-response,14,18045,0.0-0.0-2.4,800,800,<div style='color:red'>False!</div>,[],,jsPsychHtmlKeyboardResponse,False!,red,False
5,0,,<div style='color:white'>+</div>,,html-keyboard-response,15,18848,0.0-0.0-0.5,800,800,<div style='color:white'>+</div>,[],,jsPsychHtmlKeyboardResponse,+,white,False,,<div style='color:green'>RED</div>,,html-keyboard-response,16,20851,0.0-0.0-1.5,2000,2000,<div style='color:green'>RED</div>,"['f', 'j']",j,jsPsychHtmlKeyboardResponse,RED,green,False,,<div style='color:red'>False!</div>,,html-keyboard-response,17,21654,0.0-0.0-2.5,800,800,<div style='color:red'>False!</div>,[],,jsPsychHtmlKeyboardResponse,False!,red,False
6,0,,<div style='color:white'>+</div>,,html-keyboard-response,18,22457,0.0-0.0-0.6,800,800,<div style='color:white'>+</div>,[],,jsPsychHtmlKeyboardResponse,+,white,False,,<div style='color:red'>RED</div>,,html-keyboard-response,19,24460,0.0-0.0-1.6,2000,2000,<div style='color:red'>RED</div>,"['f', 'j']",f,jsPsychHtmlKeyboardResponse,RED,red,False,,<div style='color:red'>False!</div>,,html-keyboard-response,20,25262,0.0-0.0-2.6,800,800,<div style='color:red'>False!</div>,[],,jsPsychHtmlKeyboardResponse,False!,red,False
7,0,,<div style='color:white'>+</div>,,html-keyboard-response,21,26065,0.0-0.0-0.7,800,800,<div style='color:white'>+</div>,[],,jsPsychHtmlKeyboardResponse,+,white,False,,<div style='color:green'>GREEN</div>,,html-keyboard-response,22,28068,0.0-0.0-1.7,2000,2000,<div style='color:green'>GREEN</div>,"['f', 'j']",j,jsPsychHtmlKeyboardResponse,GREEN,green,False,,<div style='color:red'>False!</div>,,html-keyboard-response,23,28871,0.0-0.0-2.7,800,800,<div style='color:red'>False!</div>,[],,jsPsychHtmlKeyboardResponse,False!,red,False
8,1,,<div style='color:white'>+</div>,,html-keyboard-response,0,805,0.0-0.0-0.0,800,800,<div style='color:white'>+</div>,[],,jsPsychHtmlKeyboardResponse,+,white,False,,<div style='color:green'>GREEN</div>,,html-keyboard-response,1,2808,0.0-0.0-1.0,2000,2000,<div style='color:green'>GREEN</div>,"['f', 'j']",j,jsPsychHtmlKeyboardResponse,GREEN,green,False,,<div style='color:red'>False!</div>,,html-keyboard-response,2,3610,0.0-0.0-2.0,800,800,<div style='color:red'>False!</div>,[],,jsPsychHtmlKeyboardResponse,False!,red,False
9,1,,<div style='color:white'>+</div>,,html-keyboard-response,3,4414,0.0-0.0-0.1,800,800,<div style='color:white'>+</div>,[],,jsPsychHtmlKeyboardResponse,+,white,False,,<div style='color:green'>GREEN</div>,,html-keyboard-response,4,6417,0.0-0.0-1.1,2000,2000,<div style='color:green'>GREEN</div>,"['f', 'j']",j,jsPsychHtmlKeyboardResponse,GREEN,green,False,,<div style='color:red'>False!</div>,,html-keyboard-response,5,7220,0.0-0.0-2.1,800,800,<div style='color:red'>False!</div>,[],,jsPsychHtmlKeyboardResponse,False!,red,False
10,1,,<div style='color:white'>+</div>,,html-keyboard-response,6,8022,0.0-0.0-0.2,800,800,<div style='color:white'>+</div>,[],,jsPsychHtmlKeyboardResponse,+,white,False,,<div style='color:red'>RED</div>,,html-keyboard-response,7,10024,0.0-0.0-1.2,2000,2000,<div style='color:red'>RED</div>,"['f', 'j']",f,jsPsychHtmlKeyboardResponse,RED,red,False,,<div style='color:red'>False!</div>,,html-keyboard-response,8,10827,0.0-0.0-2.2,800,800,<div style='color:red'>False!</div>,[],,jsPsychHtmlKeyboardResponse,False!,red,False
11,1,,<div style='color:white'>+</div>,,html-keyboard-response,9,11631,0.0-0.0-0.3,800,800,<div style='color:white'>+</div>,[],,jsPsychHtmlKeyboardResponse,+,white,False,,<div style='color:red'>GREEN</div>,,html-keyboard-response,10,13634,0.0-0.0-1.3,2000,2000,<div style='color:red'>GREEN</div>,"['f', 'j']",f,jsPsychHtmlKeyboardResponse,GREEN,red,False,,<div style='color:red'>False!</div>,,html-keyboard-response,11,14437,0.0-0.0-2.3,800,800,<div style='color:red'>False!</div>,[],,jsPsychHtmlKeyboardResponse,False!,red,False
12,1,,<div style='color:white'>+</div>,,html-keyboard-response,12,15239,0.0-0.0-0.4,800,800,<div style='color:white'>+</div>,[],,jsPsychHtmlKeyboardResponse,+,white,False,,<div style='color:red'>RED</div>,,html-keyboard-response,13,17242,0.0-0.0-1.4,2000,2000,<div style='color:red'>RED</div>,"['f', 'j']",f,jsPsychHtmlKeyboardResponse,RED,red,False,,<div style='color:red'>False!</div>,,html-keyboard-response,14,18043,0.0-0.0-2.4,800,800,<div style='color:red'>False!</div>,[],,jsPsychHtmlKeyboardResponse,False!,red,False
13,1,,<div style='color:white'>+</div>,,html-keyboard-response,15,18846,0.0-0.0-0.5,800,800,<div style='color:white'>+</div>,[],,jsPsychHtmlKeyboardResponse,+,white,False,,<div style='color:green'>GREEN</div>,,html-keyboard-response,16,20849,0.0-0.0-1.5,2000,2000,<div style='color:green'>GREEN</div>,"['f', 'j']",j,jsPsychHtmlKeyboardResponse,GREEN,green,False,,<div style='color:red'>False!</div>,,html-keyboard-response,17,21652,0.0-0.0-2.5,800,800,<div style='color:red'>False!</div>,[],,jsPsychHtmlKeyboardResponse,False!,red,False
14,1,,<div style='color:white'>+</div>,,html-keyboard-response,18,22454,0.0-0.0-0.6,800,800,<div style='color:white'>+</div>,[],,jsPsychHtmlKeyboardResponse,+,white,False,,<div style='color:red'>RED</div>,,html-keyboard-response,19,24456,0.0-0.0-1.6,2000,2000,<div style='color:red'>RED</div>,"['f', 'j']",f,jsPsychHtmlKeyboardResponse,RED,red,False,,<div style='color:red'>False!</div>,,html-keyboard-response,20,25258,0.0-0.0-2.6,800,800,<div style='color:red'>False!</div>,[],,jsPsychHtmlKeyboardResponse,False!,red,False
15,1,,<div style='color:white'>+</div>,,html-keyboard-response,21,26061,0.0-0.0-0.7,800,800,<div style='color:white'>+</div>,[],,jsPsychHtmlKeyboardResponse,+,white,False,,<div style='color:green'>RED</div>,,html-keyboard-response,22,28064,0.0-0.0-1.7,2000,2000,<div style='color:green'>RED</div>,"['f', 'j']",j,jsPsychHtmlKeyboardResponse,RED,green,False,,<div style='color:red'>False!</div>,,html-keyboard-response,23,28867,0.0-0.0-2.7,800,800,<div style='color:red'>False!</div>,[],,jsPsychHtmlKeyboardResponse,False!,red,False
